,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
1077,Memorandum on t,Memorandum for the Heads of Executive Departments and Agencies,The Presidential POWER Initiative: Protecting Our Workers and Ensuring Reemployment,Communications to Federal Agencies : Protecting Our Workers and Ensuring Reemployment (POWER) Initiative.,Government organization and employees : Protecting Our Workers and Ensuring Reemployment (POWER) Initiative.,Barack H. Obama,"July 19, 2010","11:15 a.m., July 21, 2010",201000609
1078,Memorandum on Delegation of Certain Functions and Authorities,Memorandum for the Secretary of State,Delegation of Certain Functions and Authorities,"Communications to Federal Agencies : State, Department of, delegation of certain functions and authorities, memorandum.","State, Department of : Secretary.",Barack H. Obama,"July 21, 2010","11:15 a.m., July 23, 2010",201000620
1079,Memorandum on Delegation of Certain Functions Under Section 3134 of the National Defense Authorization Act for Fiscal Year 2008,Memorandum for the Secretary of Energy,Delegation of Certain Functions Under Section 3134 of the National Defense Authorization Act for Fiscal Year 2008 (Public Law 110–181),"Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2008, delegation of certain functions, memorandum.","Defense Authorization Act for Fiscal Year 2008, National, delegation of certain functions.",Barack H. Obama,"July 21, 2010","11:15 a.m., July 23, 2010",201000621
1080,Memorandum on Delegation of Certain Functions Under Section 1264 of the Victims of Iranian Censorship Act,Memorandum for the Chairman of the Broadcasting Board of Governors and the Secretary of State,"Delegation of Certain Functions Under Section 1264 of the Victims of Iranian Censorship Act (Public Law 111–84, Subtitle D of the National Defense Authorization Act for Fiscal Year 2010)","Communications to Federal Agencies : Victims of Iranian Censorship Act, delegation of certain functions, memorandum.","Iran : Victims of Iranian Censorship Act, delegation of certain functions.",Barack H. Obama,"July 21, 2010","11:15 a.m., July 23, 2010",201000622
1081,Memorandum on Designation of the National Science and Technology Council To Coordinate Certain Activities Under the Arctic Research and Policy Act of 1984,Memorandum for the Director of the Office of Science and Technology Policy,Designation of the National Science and Technology Council To Coordinate Certain Activities Under the Arctic Research and Policy Act of 1984,"Communications to Federal Agencies : National Science and Technology Council, coordination of activities under the Arctic Research and Policy Act of 1984, memorandum designating.","Arctic Research and Policy Act of 1984; White House Office : Science and Technology Council, National.",Barack H. Obama,"July 22, 2010","8:45 a.m., July 27, 2010",201000625
1082,"Memorandum on the Freeze on Discretionary Awards, Bonuses, and Similar Payments for Federal Political Appointees",Memorandum for the Assistant to the President and Chief of Staff and the Heads of Executive Departments and Agencies,"Freeze on Discretionary Awards, Bonuses, and Similar Payments for Federal Political Appointees","Communications to Federal Agencies : Federal political appointees, freeze on discretionary awards, bonuses, and similar payments for, memorandum.","Government organization and employees : Federal political appointees, freeze on awards, bonuses, and payments for.",Barack Obama,"August 3, 2010","8:45 a.m., August 5, 2010",201000648
1083,Memorandum on Continuation of United States Drug Interdiction Assistance to the Government of Colombia,Memorandum for the Secretary of State and the Secretary of Defense,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia,"Communications to Federal Agencies : Colombia, drug interdiction assistance, memorandum",Colombia : Drug interdiction efforts; Drug abuse and trafficking : Interdiction efforts.,Barack H. Obama,"August 10, 2010",,201000673
1084,Memorandum on Designation of Officials of the Court Services and Offender Supervision Agency To Act as Director,Memorandum for the Director of the Court Services and Offender Supervision Agency for the District of Columbia,Designation of Officials of the Court Services and Offender Supervision Agency To Act as Director,"Communications to Federal Agencies : Court Services and Offender Supervision Agency for the District of Columbia, designation of officers to act as Director, memorandum",Court Services and Offender Supervision Agency for the District of Columbia : Order of succession.,Barack H. Obama,"August 17, 2010","8:45 a.m., August 20, 2010",201000687
1085,Memorandum on Unexpected Urgent Refugee and Migration Needs Resulting From Violence in Kyrgyzstan,Memorandum for the Secretary of State,Unexpected Urgent Refugee and Migration Needs Resulting from Violence in Kyrgyzstan,"Communications to Federal Agencies : Kyrgyzstan, violence in, refugee and migration needs resulting from, memorandum.","Foreign policy, U.S. : Civil and human rights, promotion efforts; Refugee and Migration Assistance Fund, U.S. Emergency.",Barack H. Obama,"August 26, 2010",,201000703
1086,Memorandum on Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,Memorandum for the Secretary of State and the Secretary of the Treasury,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,"Communications to Federal Agencies : Trading With the Enemy Act, continuation of the exercise of certain authorities, memorandum.",Trading With the Enemy Act.,Barack H. Obama,"September 2, 2010","11:15 a.m., September 3, 2010",201000721
1087,Memorandum on Unexpected Urgent Refugee and Migration Needs Resulting From Flooding in Pakistan,Memorandum for the Secretary of State,Unexpected Urgent Refugee and Migration Needs Resulting from Flooding in Pakistan," Communications to Federal Agencies : Pakistan, flooding, refugee and migration needs resulting from, memorandum","Natural disasters : Pakistan, floods; Pakistan : Floods, damage and recovery efforts; Refugee and Migration Assistance Fund, U.S. Emergency.",Barack H. Obama,"September 3, 2010",,201000725
1088,Memorandum on the,Memorandum for the Senior Executive Service,Accountable Government Initiative," Communications to Federal Agencies : Accountable Government Initiative, memorandum.",Government organization and employees : Accountable Government Initiative.,Barack H. Obama,"September 14, 2010",,201000752
1089,Memorandum on,Memorandum for the Secretary of State,Delegation of Waiver Authority Pursuant to Section 107(a) of Public Law 110–457," Communications to Federal Agencies : William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008, delegation of waiver authority, memorandum.",William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008.,Barack H. Obama,"September 20, 2010",,201000778
1090,"Memorandum on Delegation of Certain Functions and Authorities Under the Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010","Memorandum for the Secretary of State, the Secretary of the Treasury, the Attorney General, the Secretary of Commerce, United States Trade Representative, Chairman of the Board of Governors of the Federal Reserve System, and President of the Export-Import Bank of the United States","Delegation of Certain Functions and Authorities Under the Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010"," Communications to Federal Agencies : Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010, delegation of certain functions and authorities, memorandum.","Iran : Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010.",Barack H. Obama,"September 23, 2010",,201000793
1091,Memorandum on Provision of Aviation Insurance Coverage for Commercial Air Carrier Service in Domestic and International Operations,Memorandum for the Secretary of Transportation,Provision of Aviation Insurance Coverage for Commercial Air Carrier Service in Domestic and International Operations,"Communications to Federal Agencies : Commercial air carrier service, provision of aviation insurance coverage, memorandum.",Aviation : Air carrier insurance.,Barack H. Obama,"September 29, 2010","11:15 a.m., September 30, 2010",201000814
1092,Memorandum on Establishing a Task Force on Skills for America's Future,Memorandum for the Heads of Executive Departments and Agencies,Establishing a Task Force on Skills for America's Future,"Communications to Federal Agencies : Task Force on Skills for America's Future, memorandum on establishing","Education : Postsecondary education :: Affordability; Education : Postsecondary education :: Career training and continuing education; Education : Postsecondary education :: Community colleges; Employment and unemployment : Job training programs; Skills for America's Future, Task Force on.",Barack H. Obama,"October 4, 2010","8:45 a.m., October 7, 2010",201000835
